"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","MPability.x","langinst","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","MPabilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT","clean_school_id"
"73",73,73,"N",700,0,0,NA,NA,NA,0.219339733033137,"en",117,119,116,NA,2,107,17,"EO",NA,-1.14544043985608,"EO","Ineligible","Not Hispanic","en","EO",2
"74",74,74,"N",700,0,0,NA,NA,NA,2.2927357503004,"en",126,125,119,NA,2,114,17,"EO",NA,0.617792239743989,"EO","Ineligible","Not Hispanic","en","EO",2
"75",75,75,"N",700,0,0,NA,NA,NA,2.4709904897828,"en",123,122,113,NA,2,104,17,"EO",NA,1.2391374616081,"EO","Ineligible","Not Hispanic","en","EO",2
"76",76,76,"N",700,0,0,NA,NA,NA,2.78550657126349,"en",103,112,105,NA,2,104,17,"EO",NA,1.55365354308879,"EO","Ineligible","Not Hispanic","en","EO",2
"77",77,77,"N",700,0,0,NA,NA,NA,2.6740866317654,"en",109,110,100,NA,2,112,17,"EO",NA,1.08776121768533,"EO","Ineligible","Not Hispanic","en","EO",2
"78",78,78,"N",700,0,0,NA,NA,NA,2.34260076894922,"en",95,91,85,NA,2,112,17,"EO",NA,0.75627535486915,"EO","Ineligible","Not Hispanic","en","EO",2
"79",79,79,"N",700,0,0,NA,NA,NA,2.24580368327197,"en",100,108,73,NA,2,106,17,"EO",NA,0.925332558620924,"EO","Ineligible","Not Hispanic","en","EO",2
"80",80,80,"N",700,0,0,NA,NA,NA,-0.482224040149409,"en",135,126,120,NA,2,107,17,"EO",NA,-1.84700421303863,"EO","Ineligible","Not Hispanic","en","EO",2
"81",81,81,"N",700,0,0,NA,NA,NA,2.11888982161205,"en",129,117,116,NA,2,110,17,"EO",NA,0.621182504008322,"EO","Ineligible","Not Hispanic","en","EO",2
"82",82,82,"Y",700,0,0,NA,NA,NA,2.25062870310688,"en",108,102,90,NA,2,114,17,"EO",NA,0.575685192550469,"EO","Ineligible","Hispanic","en","EO",2
"83",83,83,"N",700,0,0,NA,NA,NA,3.26882024222832,"en",111,107,93,NA,2,116,17,"EO",NA,1.50525863519557,"EO","Ineligible","Not Hispanic","en","EO",2
"84",84,84,"N",600,0,0,NA,NA,NA,1.06707878032177,"en",77,91,71,NA,2,112,17,"EO",NA,-0.5192466337583,"EO","Ineligible","Not Hispanic","en","EO",2
"85",85,85,"N",800,0,0,NA,NA,NA,2.28469697010739,"en",115,109,110,NA,2,104,17,"EO",NA,1.05284394193268,"EO","Ineligible","Not Hispanic","en","EO",2
"86",86,86,"N",700,0,0,NA,NA,NA,2.81464957380965,"en",121,117,100,NA,2,105,17,"EO",NA,1.53848749739677,"EO","Ineligible","Not Hispanic","en","EO",2
"87",87,87,"N",700,0,0,NA,NA,NA,3.89416291698091,"en",125,129,105,NA,2,114,17,"EO",NA,2.2192194064245,"EO","Ineligible","Not Hispanic","en","EO",2
"88",88,88,"N",700,0,0,NA,NA,NA,3.24882440964455,"en",121,118,109,NA,2,108,17,"EO",NA,1.83973518851716,"EO","Ineligible","Not Hispanic","en","EO",2
"89",89,89,"N",800,2,0,NA,NA,NA,2.90852068483166,"en",96,99,86,NA,2,114,17,"EO",NA,1.23357717427525,"EO","Eligible","Not Hispanic","en","EO",2
"90",90,90,"N",700,0,0,NA,NA,NA,1.7003541601429,"en",118,114,94,NA,2,109,17,"EO",NA,0.246955890777342,"EO","Ineligible","Not Hispanic","en","EO",2
"91",91,91,"N",800,0,0,NA,NA,NA,1.81658432819487,"en",120,138,106,NA,2,105,17,"EO",NA,0.540422251781994,"EO","Ineligible","Not Hispanic","en","EO",2
"92",92,92,"N",700,0,0,NA,NA,NA,1.41442593823486,"en",119,125,109,NA,2,108,17,"EO",NA,0.00533671710747275,"EO","Ineligible","Not Hispanic","en","EO",2
"93",93,93,"N",700,0,0,NA,NA,NA,2.64331791523859,"en",105,101,86,NA,2,107,17,"EO",NA,1.27853774234937,"EO","Ineligible","Not Hispanic","en","EO",2
